id;name
1309;Birresborn
1310;Birstein
1311;Birtlingen
1312;Birx
1313;Bischberg
1314;Bischbrunn
1315;Bischdorf
1316;Bischhagen
1317;Bischheim
1318;Bischheim-Häslich
1319;Bischoffen
1320;Bischofferode
1321;Bischofrod
1322;Bischofroda
1323;Bischofrode
1324;Bischofsgrün
1325;Bischofsheim
1326;Bischofsmais
1327;Bischofswerda
1328;Bischofswiesen
1329;Bischweier
1330;Bisingen
1331;Bismarckquelle
1332;Bismark
1333;Bispingen
1334;Bissee
1335;Bissendorf
1336;Bissersheim
1337;Bissingen
1338;Bistensee
1339;Bisterschied
1340;Bitburg
1341;Bitter
1342;Bitterfeld
1343;Bittkau
1344;Bitz
1345;Bitzen
1346;Blaibach
1347;Blaichach
1348;Blandikow
1349;Blangenmoorfeld
1350;Blankenbach
1351;Blankenberg
1352;Blankenburg
1353;Blankenfelde
1354;Blankenförde
1355;Blankenhagen
1356;Blankenhain
1357;Blankenheim
1358;Blankenhof
1359;Blankenrath
1360;Blankensee
1361;Blankenstein
1362;Blasdorf
1363;Blaubach
1364;Blaubeuren
1365;Blaueishütte
1366;Blauenthal
1367;Blaues Glück
1368;Blaufelden
1369;Blaustein
1370;Blechhammer
1371;Bleckede
1372;Bleckederwerder
1373;Bleckenrode
1374;Bleckhausen
1375;Bleckhausener Mühle
1376;Bleialf
1377;Bleicherode
1378;Blekendorf
1379;Blender
1380;Blengow
1381;Blesendorf
1382;Blesewitz
1383;Bleyen
1384;Blick
1385;Bliedersdorf
1386;Bliederstedt
1387;Blieschendorf
1388;Bliesdorf
1389;Bliesendorf
1390;Blieskastel
1391;Bliestorf
1392;Blievenstorf
1393;Blindham
1394;Blindheim
1395;Blindow
1396;Blochwitz
1397;Bloischdorf
1398;Blomberg
1399;Blomesche Wildnis
1400;Blossin
1401;Blowatz
1402;Blumberg
1403;Blumenaue
1404;Blumenhagen
1405;Blumenholz
1406;Blumenow
1407;Blumenthal
1408;Blunk
1409;Blönsdorf
1410;Blüssen
1411;Blütenberg
1412;Blüthen
1413;Bobbau
1414;Bobeck
1415;Bobenheim am Berg
1416;Bobenheim-Roxheim
1417;Bobenneukirchen
1418;Bobenthal
1419;Boberow
1420;Bobingen
1421;Bobitz
1422;Boblitz
1423;Bobritzsch
1424;Bobzin
1425;Bocholt
1426;Bochow
1427;Bochum
1428;Bocka
