660;Saalow;1;950
661;Nunsdorf;1;950
662;Glienick;1;950
663;Gadsdorf;1;950
664;Telz;1;950
665;Groß Schulzendorf;1;950
666;Kallinchen;1;950
667;Schöneiche;1;950
668;Blankenfelde;1;951
669;Dahlewitz;1;951
670;Großziethen;1;952
671;Groß Kienitz;1;952
672;Selchow;1;952
673;Jühnsdorf;1;952
674;Waßmannsdorf;1;952
675;Diepensee;1;952
676;Mahlow;1;952
677;Rangsdorf;1;953
678;Baruth/Mark;1;954
679;Kummersdorf-Gut;1;955
680;Wünsdorf;1;955
681;Sperenberg;1;955
682;Klausdorf;1;955
683;Tauche Giesensdorf;1;956
684;Tauche Briescht;1;956
685;Speichrow;1;956
686;Tauche Falkenberg;1;956
687;Beeskow;1;956
688;Tauche;1;956
689;Tauche Tauche;1;956
690;Rietz-Neuendorf Sauen;1;956
691;Tauche Lindenberg;1;956
692;Tauche Mittweide;1;956
693;Tauche Kossenblatt;1;956
694;Friedland Klein Muckrow;1;956
695;Rietz-Neuendorf Birkholz;1;956
696;Ragow-Merz;1;956
697;Friedland Lindow;1;956
698;Rietz-Neuendorf Drahendorf;1;956
699;Tauche Werder;1;956
700;Tauche Ranzig;1;956
701;Tauche Trebatsch;1;956
702;Plattkow;1;956
703;Tauche Stremmen;1;956
704;Friedland Günthersdorf;1;956
705;Rietz-Neuendorf Behrensdorf;1;956
706;Rietz-Neuendorf Pfaffendorf;1;956
707;Ragow-Merz Merz;1;956
708;Rietz-Neuendorf Groß Rietz;1;956
709;Friedland Zeust;1;956
710;Rietz-Neuendorf Neubrück (Spree);1;956
711;Rietz-Neuendorf;1;956
712;Rietz-Neuendorf Herzberg;1;956
713;Beeskow Kohlsdorf;1;956
714;Friedland Pieskow;1;956
715;Beeskow Radinkendorf;1;956
716;Beeskow Bornow;1;956
717;Friedland Friedland;1;956
718;Friedland Reudnitz;1;956
719;Beeskow Oegeln;1;956
720;Beeskow Schneeberg;1;956
721;Friedland Niewisch;1;956
722;Rietz-Neuendorf Wilmersdorf;1;956
723;Beeskow Neuendorf;1;956
724;Friedland Chossewitz;1;956
725;Friedland Weichensdorf;1;956
726;Rietz-Neuendorf Ahrensdorf;1;956
727;Tauche Görsdorf bei Beeskow;1;956
728;Friedland Leißnitz;1;956
729;Friedland;1;956
730;Friedland Kummerow;1;956
731;Friedland Karras;1;956
732;Friedland Groß Briesen;1;956
733;Rietz-Neuendorf Görzig;1;956
734;Rietz-Neuendorf Buckow;1;956
735;Friedland Schadow;1;956
736;Beeskow Krügersdorf;1;956
737;Ragow-Merz Ragow;1;956
738;Storkow (Mark) Schwerin;1;957
739;Storkow (Mark) Kummersdorf;1;957
740;Storkow (Mark) Limsdorf;1;957
741;Storkow (Mark) Selchow;1;957
742;Storkow (Mark) Groß Eichholz;1;957
743;Storkow (Mark) Groß Schauen;1;957
744;Storkow (Mark) Görsdorf bei Storkow;1;957
745;Storkow (Mark) Alt Stahnsdorf;1;957
746;Storkow (Mark) Storkow;1;957
747;Storkow (Mark) Wochowsee;1;957
748;Storkow (Mark) Bugk;1;957
749;Kummersdorf;1;957
750;Philadelphia;1;957
751;Rieplos;1;957
752;Storkow (Mark);1;957
753;Kehrigk;1;957
754;Diensdorf-Radlow;1;958
755;Rietz-Neuendorf;1;958
756;Rietz-Neuendorf Glienicke;1;958
757;Wendisch Rietz;1;958
758;Doberburg;1;959
759;Jamlitz;1;959
760;Lieberose;1;959
761;Leeskow;1;959
762;Ullersdorf;1;959
763;Friedland Groß Muckrow;1;959
764;Friedland;1;959
765;Eisenhüttenstadt Fürstenberg;1;960
766;Eisenhüttenstadt Schönfließ;1;960
767;Schlaubetal Kieselwitz;1;960
768;Schlaubetal Fünfeichen;1;960
769;Schlaubetal;1;960
770;Eisenhüttenstadt;1;960
771;Eisenhüttenstadt Diehlo;1;960
772;Schlaubetal Bremsdorf;1;960
773;Siehdichum Pohlitz;1;960
774;Siehdichum Schernsdorf;1;960
775;Siehdichum;1;960
776;Siehdichum Rießen;1;960
777;Vogelsang;1;960
778;Neuzelle Möbiskruge;1;961
779;Neuzelle Neuzelle;1;961
780;Neuzelle Bomsdorf;1;961
781;Neuzelle Bahro;1;961
782;Neuzelle Steinsdorf;1;961
783;Neuzelle Treppeln;1;961
784;Neuzelle;1;961
785;Lawitz;1;961
786;Neuzelle Kobbeln;1;961
787;Neißemünde Ratzdorf;1;961
788;Neißemünde Breslack;1;961
789;Neißemünde Coschen;1;961
790;Neißemünde Wellmitz;1;961
791;Neißemünde;1;961
792;Neuzelle Schwerzko;1;961
793;Neuzelle Henzendorf;1;961
794;Neuzelle Ossendorf;1;961
795;Neuzelle Streichwitz;1;961
796;Neuzelle Göhlen;1;961
797;Lübben (Spreewald);1;962
798;Pretschen;1;963
799;Schlepzig;1;963
800;Gröditsch;1;963
801;Rietzneuendorf-Staakow;1;963
802;Dürrenhofe;1;963
803;Krausnick-Groß Wasserburg;1;963
804;Kuschkow;1;963
805;Wittmannsdorf-Bückchen;1;963
806;Schuhlen-Wiese;1;963
807;Hohenbrück-Neu Schadow;1;963
808;Schönwald;1;963
809;Alt-Schadow;1;963
810;Unterspreewald;1;963
811;Sacrow-Waldow;1;964
812;Lamsfeld-Groß Liebitz;1;964
813;Biebersdorf;1;964
814;Glietz;1;964
815;Straupitz;1;964
816;Jessern;1;964
817;Byhleguhre;1;964
818;Caminchen;1;964
819;Groß Leine;1;964
820;Goyatz;1;964
821;Wußwerk;1;964
822;Dollgen;1;964
823;Alt Zauche;1;964
824;Briesensee;1;964
825;Butzen;1;964
826;Mochow;1;964
827;Byhlen;1;964
828;Laasow;1;964
829;Klein Leine;1;964
830;Ressen-Zaue;1;964
831;Leibchel;1;964
832;Neu Zauche;1;964
833;Krugau;1;964
834;Groß Leuthen;1;964
835;Heideblick Weißack;1;965
836;Walddrehna;1;965
837;Bersteland;1;965
838;Heideblick;1;965
839;Cahnsdorf;1;965
840;Heideblick Wüstermarke;1;965
841;Heideblick Langengrassau;1;965
842;Heideblick Falkenberg;1;965
843;Bersteland Niewitz;1;965
844;Luckau;1;965
845;Bersteland Freiwalde;1;965
846;Heideblick Pitschen-Pickel;1;965
847;Bersteland Reichwalde;1;965
848;Görlsdorf;1;965
849;Heideblick Goßmar;1;965
850;Heideblick Beesdau;1;965
851;Heideblick Riedebeck;1;965
852;Heideblick Waltersdorf;1;965
853;Duben;1;965
854;Schlabendorf;1;965
855;Heideblick Gehren;1;965
856;Heideblick Bornsdorf;1;965
857;Steinreich;1;966
858;Dahme/Mark;1;966
859;Dahmetal;1;966
860;Steinreich Glienig;1;966
861;Steinreich Sellendorf;1;967
862;Golßen;1;967
863;Steinreich;1;967
864;Kasel-Golzig;1;967
865;Drahnsdorf;1;967
866;Eberswalde;1;968
867;Eberswalde;1;969
868;Melchow;1;970
869;Chorin;1;970
870;Britz;1;970
871;Sydower Fließ;1;970
872;Breydin;1;970
873;Altenhof;1;971
874;Finowfurt;1;971
875;Ziethen;1;972
876;Joachimsthal;1;972
877;Neugrimnitz;1;972
878;Friedrichswalde;1;972
879;Althüttendorf;1;972
880;Hohenfinow;1;973
881;Oderberg;1;973
882;Bölkendorf;1;973
883;Lunow-Stolzenhagen;1;973
884;Parsteinsee;1;973
885;Hohensaaten;1;973
886;Niederfinow;1;973
887;Liepe;1;973
888;Altglietzen;1;974
889;Neulewin;1;974
890;Hohenwutzen;1;974
891;Bad Freienwalde;1;974
892;Falkenberg;1;974
893;Neuenhagen;1;974
894;Schiffmühle;1;974
895;Oderaue Wustrow;1;974
896;Oderaue Mädewitz, Neumädewitz;1;974
897;Falkenberg Kruge/Gersdorf, Neugersdorf;1;974
898;Falkenberg Kruge/Gersdorf;1;974
899;Heckelberg-Brunow;1;974
900;Oderaue Mädewitz;1;974
901;Oderaue Wustrow, Neu-Wustrow;1;974
902;Beiersdorf-Freudenberg;1;974
903;Falkenberg Dannenberg/Mark;1;974
904;Neulewin Neulewin;1;974
905;Heckelberg-Brunow Brunow;1;974
906;Neulewin Güstebieser Loose;1;974
907;Oderaue Altreetz;1;974
908;Tiefensee;1;974
909;Falkenberg Kruge/Gersdorf, Gersdorf;1;974
910;Höhenland Wölsickendorf-Wollenberg, Wölsickendorf;1;974
911;Neulewin Neulietzegöricke;1;974
912;Beiersdorf-Freudenberg Freudenberg;1;974
913;Höhenland Wölsickendorf-Wollenberg;1;974
914;Höhenland Wölsickendorf-Wollenberg, Wollenberg;1;974
915;Bralitz;1;974
